Date,£ GBP / $ USD,£ GBP / Û EUR,Û EUR / $ USD,Unleaded,Diesel,Ethanol,Red bio-diesel,Bio-diesel,LPG,Med unleaded,Med diesel
05/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
06/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
07/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
08/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
09/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
12/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
13/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
14/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
15/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
16/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
19/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
20/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
21/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
22/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
23/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
26/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
27/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
28/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
29/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
30/01/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
02/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
03/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
04/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
05/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
06/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
09/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
10/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
11/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
12/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
13/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
16/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
17/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
18/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
19/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
20/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
23/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
24/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
25/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
26/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
27/02/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
02/03/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
03/03/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
04/03/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
05/03/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
06/03/2015,1.2345,1.2345,1.2345,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23
